ticker,tag
NPK,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
NRF,"['AGRO', 'FOOD']"
NSI,"['FINCIAL', 'INSUR']"
NSL,"['AGRO', 'FOOD']"
NTSC,"['MAI', 'AGRO-m', 'AGRO-ms']"
NTV,"['SERVICE', 'HELTH']"
NUSA,"['PROPCON', 'PROP']"
NV,"['CONSUMP', 'PERSON']"
NVD,"['PROPCON', 'PROP']"
NWR,"['PROPCON', 'CONS']"
NYT,"['SERVICE', 'TRANS']"
OCC,"['CONSUMP', 'PERSON']"
OGC,"['CONSUMP', 'HOME']"
OHTL,"['SERVICE', 'TOURISM']"
OISHI,"['AGRO', 'FOOD']"
ONEE,"['SERVICE', 'MEDIA', 'SET100']"
OR,"['RESOURC', 'ENERG', 'SET50', 'SET100']"
ORI,"['PROPCON', 'PROP', 'SET100', 'SETHD']"
OSP,"['AGRO', 'FOOD', 'SET50', 'SET100', 'SETHD']"
OTO,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
PACE,"['PROPCON', 'PROP']"
PACO,"['MAI', 'INDUS-m', 'INDUS-ms']"
PAF,"['CONSUMP', 'FASHION']"
PAP,"['INDUS', 'STEEL']"
PATO,"['INDUS', 'PETRO']"
PB,"['AGRO', 'FOOD']"
PCC,"['RESOURC', 'ENERG']"
PCSGH,"['INDUS', 'AUTO']"
PDG,"['MAI', 'INDUS-m', 'INDUS-ms']"
PDJ,"['CONSUMP', 'FASHION']"
PEACE,"['PROPCON', 'PROP']"
PERM,"['INDUS', 'STEEL']"
PF,"['PROPCON', 'PROP']"
PG,"['CONSUMP', 'FASHION']"
PHOL,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
PICO,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
PIMO,"['MAI', 'INDUS-m', 'INDUS-ms']"
PIN,"['PROPCON', 'PROP']"
PJW,"['INDUS', 'PKG']"
PK,"['INDUS', 'IMM']"
PL,"['FINCIAL', 'FIN']"
PLANB,"['SERVICE', 'MEDIA', 'SET100']"
PLANET,"['MAI', 'TECH-m', 'TECH-ms']"
PLAT,"['PROPCON', 'PROP']"
PLE,"['PROPCON', 'CONS']"
PLUS,"['AGRO', 'FOOD']"
PM,"['AGRO', 'FOOD']"
PMTA,"['INDUS', 'PETRO']"
POLAR,"['PROPCON', 'PROP']"
POLY,"['INDUS', 'AUTO']"
PORT,"['SERVICE', 'TRANS']"
POST,"['SERVICE', 'MEDIA']"
PPM,"['MAI', 'INDUS-m', 'INDUS-ms']"
PPP,"['PROPCON', 'CONMAT']"
PPPM,"['AGRO', 'AGRI']"
PPS,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
PQS,"['AGRO', 'FOOD']"
PR9,"['SERVICE', 'HELTH']"
PRAKIT,"['SERVICE', 'MEDIA']"
PRAPAT,"['MAI', 'INDUS-m', 'INDUS-ms']"
PREB,"['PROPCON', 'CONS']"
PRECHA,"['PROPCON', 'PROP']"
PRG,"['AGRO', 'FOOD']"
PRI,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
PRIME,"['RESOURC', 'ENERG']"
PRIN,"['PROPCON', 'PROP']"
PRINC,"['SERVICE', 'HELTH']"
PRM,"['SERVICE', 'TRANS']"
PRO,"['SERVICE', 'PROF']"
PROEN,"['MAI', 'TECH-m', 'TECH-ms']"
PROS,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
PROUD,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
PRTR,"['SERVICE', 'PROF']"
PSG,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
PSH,"['PROPCON', 'PROP']"
PSL,"['SERVICE', 'TRANS', 'SET100']"
PSTC,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
PT,"['TECH', 'ICT']"
PTC,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
PTECH,"['SERVICE', 'MEDIA']"
PTG,"['RESOURC', 'ENERG', 'SET100']"
PTL,"['INDUS', 'PKG']"
PTT,"['RESOURC', 'ENERG', 'SET50', 'SET100', 'SETHD']"
PTTEP,"['RESOURC', 'ENERG', 'SET50', 'SET100', 'SETHD']"
PTTGC,"['INDUS', 'PETRO', 'SET50', 'SET100']"
PYLON,"['PROPCON', 'CONS']"
CON,"['PROPCON', 'CONMAT']"
QH,"['PROPCON', 'PROP', 'SET100', 'SETHD']"
QLT,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
QTC,"['RESOURC', 'ENERG']"
RABBIT,"['PROPCON', 'PROP']"
RAM,"['SERVICE', 'HELTH']"
